fac_nm,fxd_num,prsnt_num,lon,lat
미소나라어린이집,91,83,127.50840992517412,36.63769126495372
유앤아이어린이집,91,71,127.5086955,36.63811664
힐즈파크푸르지오어린이집,63,43,127.5015176,36.6411495
꿈을담은어린이집,34,28,127.5104806608074,36.619201166934566
펀키즈어린이집,19,17,127.51437685551367,36.619592623085545
해나라어린이집,20,14,127.51437685551367,36.619592623085545
잼재미어린이집,19,19,127.5100439620272,36.61960043526125
해사랑 어린이집,13,7,127.5100439620272,36.61960043526125
부영꼬마또래어린이집,13,8,127.5100439620272,36.61960043526125
시티다움어린이집,35,35,127.51745115672443,36.61969150270101
프라디움어린이집,35,35,127.5209147106204,36.61982284479682
에이원어린이집,86,71,127.5196470673252,36.62166217781228
꿀참나무숲유치원,115,74,127.532355888596,36.6230398598735
새샘어린이집,47,31,127.5054014,36.62459122
알찬아이랜드어린이집,89,53,127.50830772787434,36.62485603249328
금천어린이집,62,52,127.5025012,36.62511627
꿈돌이예능어린이집,89,52,127.50747067896879,36.625414696032784
예광유치원,168,88,127.50925930246,36.6254788845294
미래로어린이집,32,27,127.506052,36.62619086
금천초등학교병설유치원,58,40,127.505734678081,36.6273127358891
아이림유치원,230,123,127.506818740357,36.627439423925
헨젤과그레텔유치원,90,77,127.502676373124,36.6285681545581
예가송어린이집,13,13,127.508619923719,36.62881245766732
푸른어린이집,20,11,127.51068453219854,36.62384020894976
용성초등학교병설유치원,38,26,127.51645197046,36.6239292524146
우미린어린이집,20,12,127.51025544532996,36.62404119680594
사랑가득한어린이집,228,54,127.5142476775444,36.6243799792189
초록꿈터어린이집,20,17,127.51378271523208,36.624396403149305
앙팡어린이집,19,15,127.5106177802182,36.62727920275706
베르힐키즈어린이집,62,50,127.5146713,36.6279017
용정어린이집,162,143,127.5213542,36.62798363
비발디어린이집,19,17,127.51449416658,36.62984335813741
한별어린이집,45,33,127.51449416658,36.62984335813741
아이샘어린이집,18,16,127.5035545,36.62893367
해나어린이집,60,58,127.50141921516182,36.62940528388342
베이비아카데미어린이집,20,14,127.50670408978112,36.63059043704056
연비진비어린이집,20,16,127.50670408978112,36.63059043704056
점프아이어린이집,95,71,127.4994351,36.63086935
명지영아전담어린이집,45,36,127.4998094088274,36.63116158908985
충청어린이집,123,119,127.50031721963217,36.63188621772307
굿모닝영재어린이집,19,8,127.5090209,36.63212045
아이존어린이집,19,11,127.50931473416468,36.63313850890325
해담어린이집,29,22,127.50826440132592,36.63324031622888
가인어린이집,48,47,127.51668063334594,36.63112070683262
드림어린이집,20,15,127.51043959959028,36.63145399249745
청주유치원,275,157,127.521903382374,36.6314643411917
굿모닝어린이집,30,17,127.51024626608287,36.63218856406684
이정숲어린이집,125,110,127.5209867,36.63280722
다온어린이집,42,26,127.5133114873,36.6329086897
산성유치원,139,134,127.511365139012,36.6335364047099
아이린어린이집,39,33,127.5120489766,36.6347380047
꼬마친구어린이집,20,11,127.5116804,36.63966366
미원초등학교병설유치원,18,4,127.659885641147,36.6357964433643
미원어린이집,65,23,127.65521021771848,36.647293953871255
현도어린이집,48,8,127.42450054276816,36.47381563358152
현도초등학교병설유치원,17,4,127.427105195354,36.4767828087599
옥포초등학교병설유치원,17,3,127.415833375776,36.4969654667726
도담어린이집,20,2,127.41924460832873,36.55934759052471
갈원초등학교병설유치원,17,5,127.396548617795,36.5686778030233
심우유치원,75,29,127.391315153109,36.5746994901492
남이어린이집,100,19,127.4359938493727,36.55586678512672
죽림유치원,225,199,127.44234815081,36.5964213952056
세하어린이집,155,96,127.43870709789418,36.6026908061785
죽림어린이집,99,91,127.44698793189374,36.60601225589079
지오숲어린이집,235,178,127.43937836727824,36.607540042163215
킨더그린어린이집,214,132,127.44839234844504,36.609975573636895
죽림아이꿈어린이집,21,20,127.44270627891426,36.61172700954309
죽림초등학교병설유치원,62,47,127.442923883836,36.6127777335243
동화어린이집,20,10,127.44392994924809,36.61381984508834
행복한호반어린이집,32,19,127.4473494049002,36.61476935868792
호반아이사랑어린이집,19,18,127.44734747448892,36.61485282926024
푸르지오어린이집,26,20,127.44637689104528,36.61867727137543
개신초등학교병설유치원,47,24,127.448456302816,36.6202864550242
사랑맘어린이집,11,10,127.44750438751504,36.62188828152351
은빛어린이집,29,19,127.4452628,36.62201122
호야키즈어린이집,25,17,127.44858902352917,36.62231674625309
그린빌어린이집,20,17,127.44438481304132,36.62295968795855
미평어린이집,140,93,127.4797765974988,36.600942947282114
창성유치원,390,76,127.490043407839,36.6051466822798
충청북도교육청아이사랑어린이집,27,7,127.47947247307084,36.60670061111671
신아어린이집,19,11,127.4928185001228,36.60679755791331
예동어린이집,36,20,127.4928185001228,36.60679755791331
남성유치원,116,88,127.48423602878,36.6074878640565
토닥토닥어린이집,20,18,127.48736812681692,36.6076170243614
리틀대통령어린이집,19,6,127.48680605335718,36.60835059071791
남이초등학교병설유치원,17,5,127.45427514332,36.5770967986531
행복한어린이집,200,137,127.44921960493836,36.606912207700766
드림아이어린이집,35,19,127.46311467740166,36.60910464423292
대원아이지혜어린이집,20,7,127.4626139,36.6102746
산남유치원,101,83,127.461381423745,36.6110984559817
사랑채어린이집,39,19,127.45164243438067,36.61183315190226
리더아이어린이집,20,8,127.46401638357084,36.61259753220645
방정환어린이집,39,22,127.46381241992611,36.61288308415382
시립성화5 누리봄어린이집,39,32,127.45165840165454,36.61418775195066
한내들어린이집,16,9,127.463707783029,36.6148227284015
남청주어린이집,70,17,127.4754699548,36.5955894459
금잔디어린이집,80,70,127.47119338550854,36.597289749642776
법무부햇살어린이집,48,22,127.47557317032316,36.60439491644162
산남아이원어린이집,132,72,127.47746124605855,36.60753051931519
좋은사랑어린이집,17,6,127.4740480374325,36.6086759685271
사랑으로어린이집,30,19,127.4740480374325,36.6086759685271
아이조움어린이집,18,13,127.4740480374325,36.6086759685271
재미솔솔어린이집,18,18,127.4740480374325,36.6086759685271
예성어린이집,45,32,127.47376845210084,36.60974762610086
충청BR어린이집,208,208,127.47862171429938,36.61083121853987
행복마을어린이집,19,12,127.48680605335718,36.60835059071791
행복드림어린이집,19,17,127.48680605335718,36.60835059071791
예쁜토리어린이집,20,20,127.49134230511191,36.60878253993111
하늘빅스맘어린이집,20,20,127.48785158730622,36.60895548057787
주하어린이집,19,17,127.48785158730622,36.60895548057787
잰둥이어린이집,25,20,127.48785158730622,36.60895548057787
아이엘유치원,125,88,127.487850588175,36.6089565660065
한사랑어린이집,32,7,127.49119682397765,36.609459889885485
에디슨어린이집,20,14,127.49390314474644,36.61002632956853
새한어린이집,20,16,127.49390314474644,36.61002632956853
행복모아어린이집,36,30,127.49490809179348,36.607765725689205
원평초등학교병설유치원,62,37,127.495502386377,36.611225585027
주은어린이집,20,18,127.49207612780488,36.61028260026184
라온어린이집,20,6,127.48805855097872,36.61129036748604
해피맘어린이집,13,4,127.49335910838371,36.61165422485361
청주썸머힐어린이집,62,52,127.49335910838371,36.61165422485361
남평초등학교병설유치원,96,72,127.489076333154,36.6117409057868
샛별어린이집,13,9,127.49229400104836,36.61220291328211
꽃피는봄어린이집,20,19,127.49183180041469,36.61220347013575
동명어린이집,139,139,127.4831239463406,36.61224404838277
즐거운숲유치원,110,27,127.482136572683,36.6131903609844
초록별어린이집,111,73,127.48163678588092,36.6132413135581
충북대학교병원사랑누리어린이집,69,66,127.4716908,36.6111844
계룡리슈빌어린이집,30,16,127.4717170945669,36.61135257094397
차일드어린이집,138,113,127.47791003154022,36.61142882215769
홍익유치원,136,80,127.477842981937,36.6116670800487
더샵해봄어린이집,70,54,127.47692962078052,36.6141316406967
청주법원어린이집,35,35,127.46761288377417,36.61435690194542
꿈그린어린이집,70,37,127.47518056441484,36.61473067187127
반디어린이집,20,11,127.47389323021832,36.6162569089213
산남어린이집,74,47,127.47654791830392,36.61749709230909
예쁜i어린이집,39,10,127.47433818186164,36.61808984236918
참나리어린이집,20,10,127.45945203778474,36.61573313660772
성화초등학교병설유치원,62,48,127.45555702004,36.6160141053873
꿈가득한유치원,378,228,127.45055264346,36.6161064845228
성화2어린이집,35,26,127.45845765943471,36.616194741739264
연두어린이집,25,12,127.45287634057595,36.6175461560507
성화4어린이집,43,40,127.45109762205168,36.61770429324555
은하수어린이집,39,33,127.44947157571312,36.62105544035364
한빛어린이집,17,15,127.44956257667526,36.6213254366036
아가숲어린이집,17,12,127.44994034676004,36.62169527699313
엄마맘어린이집,13,6,127.44994034676004,36.62169527699313
수곡초등학교병설유치원,17,16,127.471125637468,36.6183643661302
한솔초등학교병설유치원,17,9,127.476393672973,36.6187539762421
사랑꿈어린이집,20,16,127.47210491330696,36.61996225119514
킨더캐슬어린이집,80,42,127.46903801153923,36.62522975867879
모충초등학교병설유치원,40,20,127.478354023816,36.6256894242065
아이캔어린이집,49,49,127.4730640311555,36.626176249103786
씨에이유치원,64,5,127.468606490542,36.6263591312565
홍익어린이집,20,20,127.47735844330143,36.626393414969286
마루홍익어린이집,19,14,127.46447042315876,36.62716886212936
아이자람터어린이집,84,70,127.47715081543458,36.62753327491901
예담어린이집,104,98,127.4801639377857,36.61511079794935
남들어린이집,81,65,127.48719957826908,36.615471528628525
큰빛어린이집,93,44,127.48120418458892,36.61701700037887
슬기어린이집,37,24,127.48446557012826,36.62015053442013
트릴로채키즈어린이집,95,74,127.48008426503536,36.62714031312863
꼬마스타어린이집,20,19,127.48330429780714,36.62896109358627
청주어린이집,110,50,127.47953191840678,36.63218435683861
삼익베이비스쿨어린이집,20,15,127.46451946839414,36.62788957521071
튼튼어린이집,17,17,127.47926798043392,36.628019948167925
하솜어린이집,12,10,127.47926497103606,36.62843673275764
창신유치원,198,159,127.465160147926,36.6293131141105
별수아 어린이집,20,8,127.4680491738579,36.63031602147057
꼬마캐슬어린이집,20,20,127.4680491738579,36.63031602147057
아이캐슬어린이집,20,17,127.4680491738579,36.63031602147057
향기가득어린이집,29,27,127.4680491738579,36.63031602147057
푸른꿈어린이집,26,21,127.4691589063612,36.63041979230772
아가월드E&T어린이집,20,10,127.4691589063612,36.63041979230772
현대유치원,150,96,127.450158668366,36.6247891182488
행복가득어린이집,19,16,127.45079922517795,36.62482075922189
충북대학교생활과학대학부설어린이집,136,45,127.45479196889649,36.63003935314667
충북대학교직장어린이집,49,48,127.46016614232823,36.630746830778
